6	1	1971	0.5
7	1	1971	3.9
14	1	1971	0.7
15	1	1971	3.4
16	1	1971	5.3
18	1	1971	2.3
19	1	1971	2.9
20	1	1971	3.8
21	1	1971	7.3
22	1	1971	2.1
23	1	1971	13.2
24	1	1971	0.2
25	1	1971	7.5
26	1	1971	9
27	1	1971	1.3
28	1	1971	0.1
30	1	1971	4
31	1	1971	2.6
2	1	1972	1.9
3	1	1972	0.1
4	1	1972	2.1
5	1	1972	0.1
7	1	1972	3.2
8	1	1972	3.8
9	1	1972	0.1
10	1	1972	0.7
11	1	1972	13.1
13	1	1972	3.4
14	1	1972	0.1
15	1	1972	1.7
16	1	1972	0.3
17	1	1972	0.7
18	1	1972	0.2
19	1	1972	3
23	1	1972	0.6
24	1	1972	9.1
25	1	1972	0.1
26	1	1972	6.1
27	1	1972	3.6
28	1	1972	0.2
29	1	1972	0.1
30	1	1972	1
2	1	1973	0.2
4	1	1973	0.5
14	1	1973	0.7
15	1	1973	5.5
20	1	1973	2.4
23	1	1973	1.9
24	1	1973	0.1
26	1	1973	1.8
30	1	1973	0.1
3	1	1974	0.1
4	1	1974	3.1
5	1	1974	4.9
6	1	1974	1.2
7	1	1974	4.7
8	1	1974	4
10	1	1974	2.1
11	1	1974	7.3
12	1	1974	5
13	1	1974	6.2
14	1	1974	0.3
15	1	1974	0.3
16	1	1974	4.9
22	1	1974	0.1
23	1	1974	4.1
26	1	1974	2
27	1	1974	0.6
28	1	1974	1.9
31	1	1974	0.1
1	1	1975	3.5
7	1	1975	1
8	1	1975	0.1
12	1	1975	4.3
13	1	1975	0.1
14	1	1975	2.2
15	1	1975	3
16	1	1975	1.7
17	1	1975	5.5
18	1	1975	19
20	1	1975	16.3
21	1	1975	0.1
22	1	1975	4.5
23	1	1975	0.4
25	1	1975	5.2
26	1	1975	0.2
27	1	1975	10.9
28	1	1975	8.3
29	1	1975	1.4
30	1	1975	0.9
31	1	1975	3.7
1	1	1976	0.3
2	1	1976	0.6
4	1	1976	6.4
9	1	1976	1.3
10	1	1976	1.7
18	1	1976	0.4
20	1	1976	0.2
23	1	1976	0.1
24	1	1976	1.2
25	1	1976	0.4
26	1	1976	1.3
1	1	1977	13.3
2	1	1977	0.2
5	1	1977	4.7
